#,url,domain,type,duplicate_domain,lang,topic,counts_as_link
1,https://graph.org/Ideas-For-Keeping-Your-Memory-Sharp-And-Focused-09-19,graph.org,web2.0 blog,Y,en,memory tips (general),Y
2,https://rentry.co/7468ks9w,rentry.co,pad/paste,Y,en,memory tips (general),Y
3,https://greve64carstensen.bravejournal.net/all-the-best-memory-advice-in-one-place,bravejournal.net,web2.0 blog,Y,en,memory tips (general),Y
4,https://siegel20siegel.werite.net/helpful-tips-and-tricks-for-remembering-things,werite.net,web2.0 blog,Y,en,memory tips (general),Y
5,https://nissen-sosa-2.blogbright.net/find-out-what-you-can-do-to-improve-your-memory-1789834073,blogbright.net,web2.0 blog,Y,en,memory tips (general),Y
6,https://briggs-lindahl-3.technetbloggers.de/how-relating-old-information-can-retain-new-information-1789834074,technetbloggers.de,web2.0 blog,Y,en,memory tips (general),Y
7,https://hackmd.okfn.de/A8tFrA9kRAe4BCTAj_vGBg,hackmd.okfn.de,pad/paste,Y,en,memory tips (general),Y
8,https://notes.medien.rwth-aachen.de/29II9AH9QhOtOgUnsem4cQ,notes.medien.rwth-aachen.de,pad/paste,Y,en,memory tips (general),Y
9,https://squareblogs.net/puggaardlorentzen57645/herbal-remedies-that-can-help-increase-your-memory,squareblogs.net,web2.0 blog,Y,en,memory tips (general),Y
10,https://postheaven.net/siegel83greve/tips-anyone-can-use-to-improve-their-memory,postheaven.net,web2.0 blog,Y,en,memory tips (general),Y
11,https://writeablog.net/floyd44velling/techniques-and-tips-for-strengthening-your-memory,writeablog.net,web2.0 blog,Y,en,memory tips (general),Y
12,https://www.instructables.com/member/kold94greve/,instructables.com,profile,N,en,-,Y
13,https://www.credly.com/users/siegel96curry,credly.com,profile,Y,en,-,Y
14,https://www.blurb.com/user/Floyd14Greve,blurb.com,profile,Y,en,-,Y
15,https://graph.org/Improve-Your-Memory-With-These-Helpful-Tips-09-19,graph.org,web2.0 blog,Y,en,memory tips (general),Y
16,https://telegra.ph/Check-Out-Some-Of-These-Memory-Tips-09-19,telegra.ph,web2.0 blog,N,en,memory tips (general),Y
17,https://rentry.co/mqz5fa5x,rentry.co,pad/paste,Y,en,memory tips (general),Y
18,https://notes.io/e9PyS,notes.io,pad/paste,Y,en,memory tips (general),Y
19,https://wall37rankin.werite.net/check-out-these-tips-to-improve-your-memory,werite.net,web2.0 blog,Y,en,memory tips (general),Y
20,https://lyon11rankin.bravejournal.net/forgetful,bravejournal.net,web2.0 blog,Y,en,memory tips (general),Y
21,https://lawson-hanna-3.blogbright.net/techniques-and-tips-for-strengthening-your-memory-1789846496,blogbright.net,web2.0 blog,Y,en,memory tips (general),Y
22,https://diigo.com/013iq1v,diigo.com,bookmark,N,en,-,Y
23,https://blogfreely.net/hopkins81christoffersen/tricks-that-help-improves-your-memory-now,blogfreely.net,web2.0 blog,Y,en,memory tips (general),Y
24,https://postheaven.net/baun51rankin/tips-anyone-can-use-to-improve-their-memory,postheaven.net,web2.0 blog,Y,en,memory tips (general),Y
25,https://zenwriting.net/bergmann18rankin/memory-tips-that-just-about-anyone-can-use,zenwriting.net,web2.0 blog,Y,en,memory tips (general),Y
26,https://squareblogs.net/falkwebster75587/get-better-brain-function-with-these-tips,squareblogs.net,web2.0 blog,Y,en,memory tips (general),Y
27,https://writeablog.net/hopkins55bergmann/tips-on-how-to-improve-your-memory,writeablog.net,web2.0 blog,Y,en,memory tips (general),Y
28,https://www.youtube.com/redirect?q=https://joilmang.com/,youtube.com,redirect,N,-,-,N
29,https://rentry.co/fqubgh2g,rentry.co,pad/paste,Y,en,memory tips (general),Y
